mondo_id,label,pubmed_total_count,ct_active_trials,ct_total_enrollment_target,wiki_annual_pv,wiki_lang_count,google_result_count
MONDO:0859477,"spermatogenic failure, X-linked, 5",4,0,0,57424,25,0
MONDO:0859478,"spermatogenic failure, X-linked, 6",5,0,0,57424,25,0
MONDO:0859514,congenital myopathy 18,745,32,60635,12425,7,0
MONDO:0859515,"congenital myopathy 10b, mild variant",0,0,0,0,0,0
MONDO:0859516,"neurodevelopmental disorder with seizures, spasticity, and complete or partial agenesis of the corpus callosum",268,0,0,0,0,0
MONDO:0859517,"congenital myopathy 2b, severe infantile, autosomal recessive",0,1,20000,125192,13,0
MONDO:0859518,"leukodystrophy, hypomyelinating, 26, with chondrodysplasia",0,0,0,6410,2,0
MONDO:0859519,neurodevelopmental disorder with absent speech and movement and behavioral abnormalities,10,3,265,362686,41,0
MONDO:0859520,"mitochondrial complex IV deficiency, nuclear type 23",8,0,0,18520,24,0
MONDO:0859521,oocyte maturation defect 14,123,0,0,136587,14,0
MONDO:0859522,spermatogenic failure 81,11,0,0,442147,43,0
MONDO:0859523,"congenital myopathy 2c, severe infantile, autosomal dominant",0,0,0,18919,2,0
MONDO:0859524,"hearing loss, autosomal dominant 86",21,0,0,99967,15,0
MONDO:0859525,"hearing loss, autosomal dominant 87",30,0,0,307141,24,0
MONDO:0859526,immunodeficiency 109 with lymphoproliferation,2,0,0,21600,3,0
MONDO:0859527,"hearing loss, autosomal dominant 88",18,0,0,264415,36,0
MONDO:0859528,"hearing loss, autosomal dominant 89",29,0,0,307141,24,0
MONDO:0859529,"amyotrophic lateral sclerosis 27, juvenile",21,0,0,1636191,76,0
MONDO:0859530,"myopathy, sarcoplasmic body",120,1,12,83418,11,0
MONDO:0859531,"neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures",194433,3,22388,362686,41,0
MONDO:0859532,"congenital heart defects, multiple types, 9",120,7,12170,119782,48,0
MONDO:0859564,"epilepsy, X-linked 2, with or without impaired intellectual development and dysmorphic features",870,0,0,82701,16,0
MONDO:0859565,atrioventricular septal defect,1911,2,344,119373,32,0
MONDO:0859567,"craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development syndrome 2",7,0,0,23168,2,0
MONDO:0859568,"macular dystrophy, retinal, 4",10781,70,35023,502684,42,0
MONDO:0859569,Braddock-Carey syndrome 1,2,0,0,12837,4,0
MONDO:0859570,braddock-carey syndrome 2,2,0,0,12837,4,0
